,consumption
1395,0.0
361,0.0
878,0.0
1263,0.0
680,0.0
1241,0.0
1367,0.0
900,0.0
471,0.0
658,0.0
660,0.0
671,0.0
944,0.0
1208,0.0
825,0.0
394,0.0
1142,0.0
1111,0.0
693,0.0
702,0.0
9,0.0
1384,0.0
31,0.0
581,0.0
1329,0.0
438,0.0
264,0.0
1419,0.0
1032,0.0
770,0.0
1120,0.0
1158,0.01
297,0.01
586,0.01
75,0.01
1307,0.01
1318,0.01
1164,0.01
1098,0.01
999,0.01
317,0.01
869,0.01
955,0.01
812,0.01
339,0.01
614,0.01
517,0.01
570,0.01
1109,0.01
548,0.02
922,0.02
913,0.02
889,0.02
960,0.02
836,0.02
460,0.02
1177,0.02
691,0.02
174,0.02
515,0.02
762,0.02
553,0.02
108,0.03
141,0.03
1296,0.03
1362,0.03
993,0.04
647,0.04
537,0.04
383,0.04
1131,0.04
823,0.04
724,0.04
64,0.04
1065,0.04
86,0.04
867,0.04
1386,0.05
1345,0.05
779,0.05
427,0.05
284,0.05
350,0.05
185,0.05
768,0.06
273,0.06
405,0.07
1043,0.07
669,0.08
152,0.08
1389,0.09
328,0.09
891,0.09
240,0.1
504,0.1
806,0.11
443,0.11
207,0.11
42,0.11
262,0.12
119,0.13
751,0.14
1169,0.14
927,0.14
1048,0.14
1254,0.16
883,0.16
1281,0.16
1320,0.18
956,0.18
20,0.19
636,0.2
911,0.2
306,0.21
619,0.21
130,0.22
1081,0.23
978,0.23
509,0.24
1181,0.24
163,0.25
1331,0.28
902,0.29
449,0.3
896,0.3
746,0.3
856,0.3
388,0.32
1122,0.32
1087,0.32
718,0.34
597,0.34
1242,0.35
395,0.35
1182,0.36
1197,0.38
1340,0.39
1226,0.4
1202,0.4
685,0.41
626,0.42
377,0.42
58,0.43
251,0.44
575,0.44
53,0.44
531,0.44
1186,0.45
801,0.46
1400,0.46
729,0.47
903,0.47
1411,0.48
10,0.49
1021,0.52
146,0.53
1076,0.54
482,0.55
713,0.55
1290,0.56
465,0.56
1235,0.57
1127,0.58
1334,0.58
1286,0.58
1204,0.6
1428,0.61
91,0.62
1417,0.63
938,0.63
845,0.64
813,0.64
1230,0.64
1378,0.65
1154,0.65
1178,0.66
98,0.67
1100,0.67
1213,0.68
630,0.7
1323,0.71
1044,0.71
1237,0.71
1429,0.72
410,0.73
781,0.74
372,0.75
1000,0.75
1276,0.76
229,0.77
1410,0.78
366,0.79
966,0.8
1333,0.81
603,0.82
703,0.83
1314,0.86
416,0.88
1191,0.89
542,0.89
625,0.89
1356,0.9
135,0.92
1004,0.92
311,0.92
87,0.93
1059,0.94
795,0.94
1133,0.94
256,0.94
196,0.94
76,0.95
767,0.95
1070,0.96
190,0.97
1094,0.97
582,0.98
1325,0.99
1147,1.0
1355,1.04
494,1.04
593,1.05
833,1.07
892,1.08
1248,1.08
1015,1.08
791,1.08
1082,1.08
1300,1.09
1396,1.09
967,1.1
877,1.1
1017,1.11
1406,1.12
289,1.16
790,1.16
344,1.19
1303,1.21
1187,1.21
1375,1.22
657,1.22
627,1.22
971,1.24
949,1.25
1374,1.25
1092,1.25
708,1.26
1026,1.26
493,1.27
1421,1.28
1125,1.28
747,1.3
1418,1.31
399,1.32
1422,1.33
1277,1.34
1298,1.36
1369,1.37
1244,1.38
560,1.38
1388,1.38
421,1.4
1224,1.4
1420,1.4
113,1.41
1354,1.41
245,1.42
1105,1.42
1265,1.47
1221,1.47
735,1.48
1352,1.5
709,1.5
1090,1.51
1311,1.53
559,1.54
1101,1.56
3,1.56
1309,1.57
1180,1.57
839,1.58
1312,1.58
1153,1.59
1257,1.6
472,1.6
428,1.62
861,1.63
1138,1.63
1039,1.63
912,1.64
1210,1.66
80,1.67
307,1.68
1358,1.7
526,1.71
432,1.71
564,1.72
1266,1.73
1301,1.74
1072,1.75
1252,1.76
615,1.8
1033,1.82
846,1.82
1255,1.83
1365,1.84
1123,1.84
907,1.84
905,1.86
234,1.87
697,1.87
734,1.88
1332,1.88
1054,1.88
834,1.88
1380,1.92
1341,1.92
1285,1.93
1279,1.93
707,1.94
786,1.95
1259,1.95
476,1.95
1377,1.99
231,1.99
736,2.0
1088,2.0
1413,2.05
295,2.06
1246,2.07
681,2.08
1297,2.08
1424,2.08
1103,2.1
1351,2.13
516,2.13
811,2.15
1322,2.16
454,2.16
1104,2.17
565,2.18
723,2.21
1077,2.22
212,2.22
384,2.22
769,2.23
866,2.24
1185,2.25
1022,2.26
868,2.26
1037,2.27
1028,2.27
761,2.32
1267,2.33
857,2.33
230,2.34
1245,2.35
1165,2.36
333,2.38
1199,2.39
1110,2.42
250,2.43
704,2.43
696,2.46
945,2.47
604,2.47
549,2.51
1278,2.53
362,2.55
536,2.56
1232,2.56
1344,2.56
1336,2.58
934,2.59
1399,2.59
613,2.59
1274,2.6
1363,2.61
943,2.64
437,2.64
1067,2.65
1321,2.66
692,2.68
895,2.7
994,2.7
124,2.71
1268,2.72
1371,2.74
817,2.79
218,2.79
1071,2.8
800,2.81
223,2.83
888,2.88
1066,2.9
261,2.93
698,2.95
483,2.96
679,2.97
1397,2.98
690,3.0
162,3.0
355,3.02
1414,3.04
1218,3.05
514,3.07
1209,3.08
982,3.13
1233,3.14
448,3.17
360,3.18
1136,3.19
879,3.23
957,3.23
780,3.23
179,3.28
1211,3.29
1222,3.29
659,3.31
1215,3.32
415,3.34
450,3.36
1089,3.37
1155,3.38
608,3.41
153,3.43
948,3.46
1270,3.46
1370,3.47
592,3.53
652,3.56
923,3.56
1113,3.58
1319,3.59
1159,3.59
466,3.6
1179,3.61
97,3.62
988,3.66
1114,3.69
294,3.7
890,3.7
675,3.74
1036,3.75
784,3.76
1099,3.77
725,3.78
824,3.78
860,3.84
1171,3.84
26,3.85
1144,3.85
1280,3.88
439,3.88
43,3.88
41,3.89
340,3.91
918,3.92
371,3.95
1025,3.97
785,3.98
1023,3.99
1408,4.01
1292,4.02
329,4.03
1143,4.03
1289,4.06
730,4.06
850,4.08
847,4.08
498,4.08
157,4.1
164,4.1
1412,4.13
1264,4.14
484,4.16
505,4.16
894,4.17
1223,4.17
285,4.18
819,4.2
85,4.2
1034,4.21
906,4.27
487,4.28
538,4.29
737,4.31
1373,4.33
1201,4.35
872,4.36
356,4.36
206,4.36
32,4.36
4,4.36
1236,4.41
151,4.42
508,4.49
731,4.49
278,4.49
1198,4.5
588,4.53
1391,4.57
841,4.59
648,4.6
1134,4.62
1097,4.64
520,4.68
1146,4.69
1335,4.71
426,4.71
1157,4.73
1251,4.75
1212,4.76
972,4.76
607,4.78
602,4.79
1359,4.79
898,4.79
1078,4.85
1050,4.85
1366,4.85
1047,4.86
184,4.88
1402,4.88
758,4.88
1160,4.9
470,4.91
1407,4.92
807,4.93
646,4.94
