Cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
19-01,100.0,38.032596041909194,18.917345750873107,18.335273573923168,13.364377182770665,11.350407450523866,10.977881257275902,11.722933643771828,10.977881257275902,12.456344586728754,12.61932479627474,13.841676367869615,12.770663562281722,12.188591385331781,11.466821885913852,7.4388824214202565,7.60186263096624,9.359720605355063,9.0104772991851,9.161816065192085,10.686845168800932,13.317811408614668,13.422584400465656,12.968568102444703,14.48195576251455,13.853317811408614,14.0046565774156,13.434225844004658,12.025611175785796,9.941792782305006
19-02,100.0,41.54175588865097,27.320821262123694,18.239072931099635,14.132762312633835,12.961330142335306,14.069782088424235,13.062098501070663,14.15795440231767,15.631691648822269,16.047361128605615,15.052273586093968,15.568711424612673,14.346895074946467,9.069152286182138,8.905403703237184,11.0971155057312,11.550573120040307,11.928454465297897,11.537977075198388,14.67439224083638,14.812948734097494,14.485451568207584,16.66456732585968,17.01725658143343,16.966872402065754,16.00957299407986,15.404962841667716,11.663937523617584,
19-03,100.0,49.343185550082104,24.288451012588943,18.007662835249043,14.928845101258895,15.708812260536398,14.942528735632186,16.58456486042693,17.172961138478378,17.638204707170225,16.392993979200877,16.338259441707716,14.956212370005472,9.523809523809524,8.648056923918993,11.74055829228243,11.13847837985769,11.15216201423098,12.233169129720855,15.243568691844553,14.285714285714285,13.423645320197044,15.39408866995074,15.708812260536398,16.119321291735083,14.956212370005472,14.135194307608101,11.15216201423098,,
19-04,100.0,42.45766049625837,19.28580806091637,15.34724957332283,15.189707233819089,15.570434554286464,15.557306025994485,16.922672968360246,17.027701194696075,15.833005120126034,14.940265196271499,14.165682027044769,9.531311539976368,8.677957200997769,10.89667848234213,10.568465275042668,10.817907312590258,11.710647236444794,14.388867008008402,13.916239989497178,13.45674149927793,15.714848365498227,15.583563082578442,15.45227779965866,14.362609951424446,14.15255349875279,11.513719312065117,,,
19-05,100.0,35.17531556802244,17.13884992987377,16.058906030855542,14.151472650771387,16.072931276297336,17.55960729312763,17.53155680224404,15.918653576437588,15.063113604488079,14.782608695652174,9.52314165497896,9.1164095371669,11.4726507713885,11.248246844319777,11.52875175315568,11.079943899018232,14.79663394109397,13.828892005610099,13.211781206171109,14.165497896213184,14.249649368863956,15.217391304347828,14.333800841514726,14.109396914446004,11.093969144460027,,,,
19-06,100.0,33.925585284280935,20.882107023411372,17.892976588628763,17.683946488294314,16.555183946488295,17.224080267558527,16.806020066889634,15.32190635451505,16.11622073578595,10.451505016722408,10.012541806020067,11.559364548494983,12.228260869565217,12.06103678929766,12.729933110367893,15.907190635451505,14.214046822742473,15.050167224080269,14.485785953177258,14.694816053511705,16.07441471571906,14.590301003344482,13.440635451505017,12.959866220735785,,,,,
19-07,100.0,41.322474306767496,23.792902850494475,21.9507465580764,22.183439984487105,21.330230754314524,19.080860965677722,18.576691875121195,17.374442505332556,11.98371146015125,11.014155516773318,13.670738801628854,14.911770409152608,15.047508241225518,15.222028311033547,18.1500872600349,17.219313554392087,15.784370758192749,17.723482644948614,17.60713593174326,18.59608299398875,17.490789218537913,17.141749078921855,14.194299011052939,,,,,,
19-08,100.0,40.75396258746252,26.00314151078109,22.576038840496928,22.518920462658862,19.60588319291732,17.47822361844924,16.42153362844495,10.18135084963587,9.981436527202629,12.880194202484649,12.55176352991575,12.380408396401542,13.065828930458375,15.950307011280879,14.622304726545766,14.022561759246038,15.978866200199915,16.87848065114951,16.293017278309296,15.950307011280879,15.536198771954876,12.323290018563473,,,,,,,
19-09,100.0,46.73730456131283,27.522935779816514,23.54309342292286,21.06215273291123,18.736270836025327,17.7283886807081,10.608605763018478,10.363096007236077,13.063703320842487,13.36089934100013,13.528879700219667,14.381703062411164,17.185682904768058,16.371624240857994,15.273291122884094,16.849722186328982,17.276133867424733,17.353663263987595,15.90644786148081,15.273291122884094,13.748546323814445,,,,,,,,
19-10,100.0,49.22911051212938,28.743935309973047,23.08355795148248,20.37735849056604,19.08355795148248,12.150943396226415,10.803234501347708,13.035040431266845,13.423180592991915,12.549865229110512,13.973045822102426,17.41239892183288,16.90566037735849,16.32345013477089,17.153638814016173,16.345013477088948,18.048517520215633,16.549865229110512,15.169811320754716,13.035040431266845,,,,,,,,,
