Cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
19-01,-45174.06318800017,319274.1624170001,75349.122708,119558.2540649998,56015.56568299998,84405.38764700001,72409.41043400006,19846.795611999994,23015.656220999997,49134.57083200003,48080.858382999984,58655.70777299993,120783.48633599989,123544.63151300006,58050.46361699999,25999.515996000002,49085.06843200003,70139.1040059999,37392.894225,38025.10087999998,39563.272594,84057.67393200006,28228.116806999984,143769.2582029999,99635.5779999999,36569.22000000002,83819.46599999996,95258.49880000004,-4141.80439999999,163855.5295999999
19-02,64286.94931500001,-5306.744667000079,84376.76315899983,54022.84930999995,16479.558629,50382.65550499999,63035.554234,45521.17205799999,49638.41227999995,32943.76233000002,34992.23182399998,63436.8149539998,32220.221156999978,43948.68079800004,23673.002375000015,34948.17345499998,41845.55065599996,43770.318694999965,86452.47589600002,46996.349084999994,42483.55829099999,89739.39593900017,149855.2383679998,24203.080399999995,25428.212400000004,35665.23280000003,-344011.39360000007,41121.85839999997,-216.26759999998922,
19-03,9621.029342000096,9057.641974999999,78400.70125099986,43047.33552600001,97633.76392899992,64416.798604999996,66296.93201200002,107678.781635,172955.03199900003,75859.66784499995,6778.527345000003,94145.37854600002,7986.287326000018,37195.65592000002,59940.022684,25465.347858999994,13721.418923000008,31995.521810999988,46940.71862500001,35674.975803999994,39841.83782600004,38450.878117,42242.142400000026,51091.61800000005,45101.590800000005,58429.73320000001,41620.39040000005,-425264.21799999994,,
19-04,149187.09964599914,99655.85471300008,39147.401232,51926.333126999976,36117.20883900001,17302.982504000003,7860.449067999997,-23742.938006000037,43647.126352,-4972.685675999993,44762.73454599998,28080.695863000026,-195.6230340000002,4696.7883120000015,52297.18719400001,28996.328804,61384.30962799999,62092.33331000001,63612.64848900002,63893.671872999985,71019.40218000008,36238.11440000003,32316.82799999999,22566.23399999999,26574.924400000007,55578.52559999999,48661.39120000002,,,
19-05,134330.58661399956,130430.92676000003,127224.73112899996,8800.172818999938,121979.0542380001,108884.663962,93972.530402,-226749.2587180001,95295.64120600001,60157.94627500008,74924.32584400002,-78809.37837299999,69654.97501599998,11643.972715,1504.946117999985,297578.3387659995,269691.39657799975,70999.05300799994,87878.37009599996,214369.9869680001,53780.805599999985,107765.11839999996,25632.46520000001,-138827.89160000003,189129.84479999988,81344.60160000002,,,,
19-06,-10144.05534199999,16277.876016999997,81366.977405,21887.061986,40620.097943,12569.396223,40792.486990999925,-1768.1369149999941,35896.37459099999,84276.14886799996,1998.111610999995,89663.67331099992,25015.44817699999,25571.180550000012,52868.93441599999,47502.73716200003,28229.696378999994,-7078.992276999973,48157.99206400002,20813.793999999998,50518.361199999985,23004.252,34020.854000000014,32911.411199999995,-1332.1232000000107,,,,,
19-07,6797.606710000046,75044.31434299996,76057.83551999995,22822.725932999976,100328.94368899988,35918.62550399995,97114.65694999998,68098.04523300001,21375.351953,9301.129784999992,93628.66974400001,24874.761445000004,39617.71926300003,52268.763261999986,15618.576897999996,49038.381434000024,26809.923606999975,119006.12549200002,20433.0148,75284.5016,16010.803600000017,21564.47360000001,6948.415200000003,40287.5828,,,,,,
19-08,-66259.07897000015,185356.05383100003,194636.29897999996,298220.7144209996,143945.30988899988,87928.8727599999,88.99430800000508,64900.78472299999,8729.82744500004,20192.42914300003,34604.330283999996,40011.48462899997,50423.077815,-13097.768152000022,-48660.816304000014,25418.59879599999,70352.20280099995,-1332.2816000000046,43746.31119999998,46966.61519999999,60089.10720000003,29573.23759999999,97181.8168,,,,,,,
19-09,-69310.1468069999,108698.36986599986,241961.87036599996,439033.1010389998,55703.636009,39578.40586699999,56675.520795000004,-24622.465496999986,59651.49192399999,36485.31607799999,12260.805996000017,47645.748041999985,29302.699487999995,43916.31919499999,77674.23257599998,112116.48607100005,102350.3384000001,50022.51039999998,41270.836800000034,-151988.8368,78196.35079999994,118472.78519999994,,,,,,,,
19-10,-37435.41347399995,162395.623507,-152414.93910800057,18832.104788000044,104407.73749900013,79813.15699200003,20961.80293599998,51645.37543899996,46993.785859999996,13851.988978000009,171409.51892799992,39081.82400400002,76565.92350799992,123212.60957900001,158121.20056999996,207603.33519999988,182467.9895999999,3938.4736000000776,209684.76080000008,32705.228800000023,-42369.97840000011,,,,,,,,,
