cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2019-01,8417,3226,1618,1434,1126,967,935,1000,943,1054,1067,1152,1065,1046,976,633,650,798,767,783,900,1131,1149,1108,1238,1179,1153,1134,1028,835
2019-02,7869,3287,1924,1418,1113,1019,1101,1035,1094,1210,1242,1149,1229,1123,714,701,879,911,932,905,1132,1151,1145,1307,1295,1311,1237,1171,913,
2019-03,7213,3303,1726,1309,1087,1138,1090,1192,1210,1256,1147,1184,1085,685,629,853,814,806,873,1087,1027,975,1119,1110,1136,1066,1008,797,,
2019-04,7417,3186,1462,1154,1150,1176,1167,1251,1266,1165,1133,1066,709,658,824,798,815,887,1086,1043,1020,1186,1165,1146,1077,1040,855,,,
2019-05,7006,2485,1210,1137,1009,1137,1201,1177,1088,1071,1039,644,645,814,796,801,779,1019,968,930,1005,988,1050,995,987,772,,,,
2019-06,4765,1598,987,841,831,765,792,764,727,746,487,472,550,582,566,593,732,663,713,690,678,749,684,626,608,,,,,
2019-07,5121,2122,1217,1109,1100,1077,952,958,890,602,561,695,766,768,762,899,872,811,905,874,921,884,854,719,,,,,,
2019-08,6972,2834,1762,1507,1474,1309,1221,1133,703,699,892,866,858,898,1082,1002,975,1116,1140,1113,1078,1041,850,,,,,,,
2019-09,7703,3534,2042,1751,1564,1444,1351,805,788,1003,1024,1038,1089,1301,1253,1176,1289,1292,1299,1216,1166,1035,,,,,,,,
2019-10,9126,4421,2557,2061,1873,1741,1080,998,1207,1223,1151,1273,1574,1543,1502,1582,1479,1595,1483,1385,1160,,,,,,,,,
2019-11,10843,5242,2530,2209,1998,1129,1079,1380,1328,1339,1373,1749,1741,1624,1677,1698,1719,1598,1511,1269,,,,,,,,,,
2019-12,10541,4178,2212,1985,1193,1001,1190,1165,1195,1181,1412,1453,1362,1496,1454,1552,1431,1307,1095,,,,,,,,,,,
2020-01,10728,4210,2463,1393,1187,1419,1365,1346,1343,1545,1500,1519,1617,1638,1618,1510,1406,1307,,,,,,,,,,,,
2020-02,10517,4184,1365,1114,1282,1189,1122,1108,1402,1366,1317,1455,1538,1490,1464,1395,1215,,,,,,,,,,,,,
2020-03,8807,1994,1071,1008,849,838,785,1058,1116,1129,1134,1117,1142,1076,998,901,,,,,,,,,,,,,,
2020-04,6782,1401,821,579,531,483,661,701,677,592,554,604,613,538,473,,,,,,,,,,,,,,,
2020-05,7179,2024,960,773,727,876,985,976,1034,914,976,945,892,794,,,,,,,,,,,,,,,,
2020-06,4742,1901,986,888,1015,1013,927,1052,1038,1025,1040,1013,899,,,,,,,,,,,,,,,,,
2020-07,6174,2508,1403,1404,1392,1227,1392,1353,1358,1349,1142,1051,,,,,,,,,,,,,,,,,,
2020-08,5387,2431,1630,1321,1166,1189,1230,1220,1187,1110,991,,,,,,,,,,,,,,,,,,,
2020-09,5742,3808,1915,1621,1651,1570,1542,1498,1399,1230,,,,,,,,,,,,,,,,,,,,
2020-10,10486,6269,3574,3463,3236,3231,3101,2705,2369,,,,,,,,,,,,,,,,,,,,,
2020-11,12430,7493,4601,3822,3668,3422,3154,2768,,,,,,,,,,,,,,,,,,,,,,
2020-12,9922,5317,2892,2603,2396,2078,1860,,,,,,,,,,,,,,,,,,,,,,,
2021-01,9816,5243,3139,2506,2213,1888,,,,,,,,,,,,,,,,,,,,,,,,
2021-02,9336,5286,2825,2390,1923,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03,12048,6771,3606,2779,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04,9642,4929,2394,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05,6974,3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06,7193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
