cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2019-01,8417.0,3226.0,1618.0,1434.0,1126.0,967.0,935.0,1000.0,943.0,1054.0,1067.0,1152.0,1065.0,1046.0,976.0,633.0,650.0,798.0,767.0,783.0,900.0,1131.0,1149.0,1108.0,1238.0,1179.0,1153.0,1134.0,1028.0,835.0
2019-02,7869.0,3287.0,1924.0,1418.0,1113.0,1019.0,1101.0,1035.0,1094.0,1210.0,1242.0,1149.0,1229.0,1123.0,714.0,701.0,879.0,911.0,932.0,905.0,1132.0,1151.0,1145.0,1307.0,1295.0,1311.0,1237.0,1171.0,913.0,
2019-03,7213.0,3303.0,1726.0,1309.0,1087.0,1138.0,1090.0,1192.0,1210.0,1256.0,1147.0,1184.0,1085.0,685.0,629.0,853.0,814.0,806.0,873.0,1087.0,1027.0,975.0,1119.0,1110.0,1136.0,1066.0,1008.0,797.0,,
2019-04,7417.0,3186.0,1462.0,1154.0,1150.0,1176.0,1167.0,1251.0,1266.0,1165.0,1133.0,1066.0,709.0,658.0,824.0,798.0,815.0,887.0,1086.0,1043.0,1020.0,1186.0,1165.0,1146.0,1077.0,1040.0,855.0,,,
2019-05,7006.0,2485.0,1210.0,1137.0,1009.0,1137.0,1201.0,1177.0,1088.0,1071.0,1039.0,644.0,645.0,814.0,796.0,801.0,779.0,1019.0,968.0,930.0,1005.0,988.0,1050.0,995.0,987.0,772.0,,,,
2019-06,4765.0,1598.0,987.0,841.0,831.0,765.0,792.0,764.0,727.0,746.0,487.0,472.0,550.0,582.0,566.0,593.0,732.0,663.0,713.0,690.0,678.0,749.0,684.0,626.0,608.0,,,,,
2019-07,5121.0,2122.0,1217.0,1109.0,1100.0,1077.0,952.0,958.0,890.0,602.0,561.0,695.0,766.0,768.0,762.0,899.0,872.0,811.0,905.0,874.0,921.0,884.0,854.0,719.0,,,,,,
2019-08,6972.0,2834.0,1762.0,1507.0,1474.0,1309.0,1221.0,1133.0,703.0,699.0,892.0,866.0,858.0,898.0,1082.0,1002.0,975.0,1116.0,1140.0,1113.0,1078.0,1041.0,850.0,,,,,,,
2019-09,7703.0,3534.0,2042.0,1751.0,1564.0,1444.0,1351.0,805.0,788.0,1003.0,1024.0,1038.0,1089.0,1301.0,1253.0,1176.0,1289.0,1292.0,1299.0,1216.0,1166.0,1035.0,,,,,,,,
2019-10,9126.0,4421.0,2557.0,2061.0,1873.0,1741.0,1080.0,998.0,1207.0,1223.0,1151.0,1273.0,1574.0,1543.0,1502.0,1582.0,1479.0,1595.0,1483.0,1385.0,1160.0,,,,,,,,,
2019-11,10843.0,5242.0,2530.0,2209.0,1998.0,1129.0,1079.0,1380.0,1328.0,1339.0,1373.0,1749.0,1741.0,1624.0,1677.0,1698.0,1719.0,1598.0,1511.0,1269.0,,,,,,,,,,
2019-12,10541.0,4178.0,2212.0,1985.0,1193.0,1001.0,1190.0,1165.0,1195.0,1181.0,1412.0,1453.0,1362.0,1496.0,1454.0,1552.0,1431.0,1307.0,1095.0,,,,,,,,,,,
2020-01,10728.0,4210.0,2463.0,1393.0,1187.0,1419.0,1365.0,1346.0,1343.0,1545.0,1500.0,1519.0,1617.0,1638.0,1618.0,1510.0,1406.0,1307.0,,,,,,,,,,,,
2020-02,10517.0,4184.0,1365.0,1114.0,1282.0,1189.0,1122.0,1108.0,1402.0,1366.0,1317.0,1455.0,1538.0,1490.0,1464.0,1395.0,1215.0,,,,,,,,,,,,,
2020-03,8807.0,1994.0,1071.0,1008.0,849.0,838.0,785.0,1058.0,1116.0,1129.0,1134.0,1117.0,1142.0,1076.0,998.0,901.0,,,,,,,,,,,,,,
2020-04,6782.0,1401.0,821.0,579.0,531.0,483.0,661.0,701.0,677.0,592.0,554.0,604.0,613.0,538.0,473.0,,,,,,,,,,,,,,,
2020-05,7179.0,2024.0,960.0,773.0,727.0,876.0,985.0,976.0,1034.0,914.0,976.0,945.0,892.0,794.0,,,,,,,,,,,,,,,,
2020-06,4742.0,1901.0,986.0,888.0,1015.0,1013.0,927.0,1052.0,1038.0,1025.0,1040.0,1013.0,899.0,,,,,,,,,,,,,,,,,
2020-07,6174.0,2508.0,1403.0,1404.0,1392.0,1227.0,1392.0,1353.0,1358.0,1349.0,1142.0,1051.0,,,,,,,,,,,,,,,,,,
2020-08,5387.0,2431.0,1630.0,1321.0,1166.0,1189.0,1230.0,1220.0,1187.0,1110.0,991.0,,,,,,,,,,,,,,,,,,,
2020-09,5742.0,3808.0,1915.0,1621.0,1651.0,1570.0,1542.0,1498.0,1399.0,1230.0,,,,,,,,,,,,,,,,,,,,
2020-10,10486.0,6269.0,3574.0,3463.0,3236.0,3231.0,3101.0,2705.0,2369.0,,,,,,,,,,,,,,,,,,,,,
2020-11,12430.0,7493.0,4601.0,3822.0,3668.0,3422.0,3154.0,2768.0,,,,,,,,,,,,,,,,,,,,,,
2020-12,9922.0,5317.0,2892.0,2603.0,2396.0,2078.0,1860.0,,,,,,,,,,,,,,,,,,,,,,,
2021-01,9816.0,5243.0,3139.0,2506.0,2213.0,1888.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02,9336.0,5286.0,2825.0,2390.0,1923.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03,12048.0,6771.0,3606.0,2779.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04,9642.0,4929.0,2394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05,6974.0,3216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06,7193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
