Message ID,Subject,Sender,Snippet
19242d91a29cc08b,ONE@SHUBH90336 MIS - 2024-09-30 12:00:02,reports@zetapp.in,"Hi ONE@SHUBH90336 Attached is your report for 2024-09-30 12:00:02. Please find the attachment. In case of any issues or queries, please reach out to pranav.gupta@zetapp.in Thanks &amp; Regards, Zet"
1924062aadf06cdb,ONE@SHUBH90336 MIS - 2024-09-30 00:30:02,reports@zetapp.in,"Hi ONE@SHUBH90336 Attached is your report for 2024-09-30 00:30:02. Please find the attachment. In case of any issues or queries, please reach out to pranav.gupta@zetapp.in Thanks &amp; Regards, Zet"
1923db40a6464744,ONE@SHUBH90336 MIS - 2024-09-29 12:00:02,reports@zetapp.in,"Hi ONE@SHUBH90336 Attached is your report for 2024-09-29 12:00:02. Please find the attachment. In case of any issues or queries, please reach out to pranav.gupta@zetapp.in Thanks &amp; Regards, Zet"
1923b3ceac880ef5,ONE@SHUBH90336 MIS - 2024-09-29 00:30:02,reports@zetapp.in,"Hi ONE@SHUBH90336 Attached is your report for 2024-09-29 00:30:02. Please find the attachment. In case of any issues or queries, please reach out to pranav.gupta@zetapp.in Thanks &amp; Regards, Zet"
192388e450e2f749,ONE@SHUBH90336 MIS - 2024-09-28 12:00:02,reports@zetapp.in,"Hi ONE@SHUBH90336 Attached is your report for 2024-09-28 12:00:02. Please find the attachment. In case of any issues or queries, please reach out to pranav.gupta@zetapp.in Thanks &amp; Regards, Zet"
19236156dbbee868,ONE@SHUBH90336 MIS - 2024-09-28 00:30:02,reports@zetapp.in,"Hi ONE@SHUBH90336 Attached is your report for 2024-09-28 00:30:02. Please find the attachment. In case of any issues or queries, please reach out to pranav.gupta@zetapp.in Thanks &amp; Regards, Zet"
192336657e1530db,ONE@SHUBH90336 MIS - 2024-09-27 12:00:02,reports@zetapp.in,"Hi ONE@SHUBH90336 Attached is your report for 2024-09-27 12:00:02. Please find the attachment. In case of any issues or queries, please reach out to pranav.gupta@zetapp.in Thanks &amp; Regards, Zet"
19230ef37ab6225f,ONE@SHUBH90336 MIS - 2024-09-27 00:30:01,reports@zetapp.in,"Hi ONE@SHUBH90336 Attached is your report for 2024-09-27 00:30:01. Please find the attachment. In case of any issues or queries, please reach out to pranav.gupta@zetapp.in Thanks &amp; Regards, Zet"
1922e41738581902,ONE@SHUBH90336 MIS - 2024-09-26 12:00:02,reports@zetapp.in,"Hi ONE@SHUBH90336 Attached is your report for 2024-09-26 12:00:02. Please find the attachment. In case of any issues or queries, please reach out to pranav.gupta@zetapp.in Thanks &amp; Regards, Zet"
1922bc8be2108343,ONE@SHUBH90336 MIS - 2024-09-26 00:30:02,reports@zetapp.in,"Hi ONE@SHUBH90336 Attached is your report for 2024-09-26 00:30:02. Please find the attachment. In case of any issues or queries, please reach out to pranav.gupta@zetapp.in Thanks &amp; Regards, Zet"
