cohort_month,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
2020-11,4.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
2020-12,,4.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
2021-01,,,2.0,2.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,
2021-02,,,,8.0,5.0,3.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,,,,,,,,,,,
2021-03,,,,,27.0,14.0,12.0,13.0,13.0,12.0,12.0,10.0,11.0,10.0,11.0,11.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,,,,,,,,,,,
2021-04,,,,,,196.0,110.0,96.0,84.0,71.0,64.0,56.0,59.0,63.0,59.0,45.0,46.0,40.0,40.0,38.0,28.0,27.0,24.0,23.0,23.0,21.0,19.0,18.0,19.0,20.0,17.0,19.0,17.0,16.0,13.0,14.0,14.0,,,,,,,,,,,
2021-05,,,,,,,47.0,30.0,22.0,27.0,20.0,16.0,14.0,15.0,14.0,10.0,11.0,9.0,9.0,11.0,7.0,7.0,6.0,6.0,5.0,5.0,6.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,,,,,,,,,,,
2021-06,,,,,,,,38.0,23.0,20.0,19.0,14.0,14.0,18.0,14.0,14.0,13.0,14.0,15.0,12.0,9.0,11.0,8.0,9.0,8.0,9.0,7.0,8.0,8.0,8.0,6.0,6.0,8.0,6.0,6.0,5.0,5.0,,,,,,,,,,,
2021-07,,,,,,,,,43.0,31.0,23.0,27.0,21.0,28.0,25.0,25.0,20.0,22.0,24.0,21.0,18.0,16.0,17.0,14.0,13.0,16.0,14.0,15.0,14.0,14.0,13.0,10.0,11.0,9.0,9.0,9.0,9.0,2.0,,,,,,,,,,
2021-08,,,,,,,,,,64.0,40.0,36.0,33.0,32.0,30.0,27.0,23.0,24.0,23.0,23.0,23.0,19.0,11.0,16.0,15.0,13.0,14.0,13.0,14.0,14.0,12.0,15.0,12.0,14.0,10.0,9.0,10.0,,,,,,,,,,,
2021-09,,,,,,,,,,,92.0,51.0,56.0,50.0,48.0,50.0,40.0,42.0,40.0,39.0,33.0,30.0,28.0,28.0,26.0,23.0,23.0,23.0,21.0,21.0,15.0,19.0,17.0,18.0,12.0,11.0,11.0,,,,,,,,,,,
2021-10,,,,,,,,,,,,58.0,32.0,30.0,28.0,25.0,21.0,20.0,21.0,23.0,22.0,19.0,17.0,20.0,18.0,17.0,19.0,18.0,15.0,13.0,14.0,13.0,15.0,11.0,12.0,13.0,8.0,,,,,,,,,,,
2021-11,,,,,,,,,,,,,157.0,121.0,99.0,96.0,97.0,89.0,82.0,83.0,76.0,56.0,53.0,54.0,45.0,44.0,44.0,43.0,41.0,43.0,39.0,34.0,33.0,37.0,35.0,30.0,31.0,3.0,,,,,,,,,,
2021-12,,,,,,,,,,,,,,378.0,292.0,263.0,235.0,233.0,220.0,215.0,190.0,174.0,171.0,154.0,140.0,154.0,138.0,128.0,115.0,114.0,102.0,93.0,94.0,87.0,74.0,69.0,64.0,1.0,,,,,,,,,,
2022-01,,,,,,,,,,,,,,,476.0,361.0,304.0,292.0,288.0,237.0,226.0,210.0,194.0,178.0,162.0,156.0,156.0,142.0,130.0,137.0,131.0,128.0,119.0,121.0,113.0,105.0,96.0,1.0,,,,,,,,,,
2022-02,,,,,,,,,,,,,,,,984.0,792.0,638.0,620.0,579.0,520.0,486.0,457.0,419.0,369.0,379.0,359.0,344.0,320.0,318.0,294.0,285.0,272.0,262.0,233.0,216.0,198.0,8.0,,,,,,,,,,
2022-03,,,,,,,,,,,,,,,,,1409.0,1077.0,942.0,910.0,806.0,695.0,658.0,600.0,542.0,535.0,511.0,486.0,472.0,457.0,435.0,412.0,369.0,388.0,335.0,295.0,279.0,5.0,,,,,,,,,,
2022-04,,,,,,,,,,,,,,,,,,1203.0,899.0,752.0,696.0,616.0,597.0,512.0,487.0,473.0,443.0,433.0,409.0,377.0,374.0,354.0,340.0,319.0,293.0,271.0,265.0,9.0,,,,,,,,,,
2022-05,,,,,,,,,,,,,,,,,,,778.0,581.0,483.0,430.0,408.0,374.0,338.0,334.0,315.0,289.0,280.0,268.0,246.0,253.0,236.0,217.0,201.0,171.0,164.0,14.0,,,,,,,,,,
2022-06,,,,,,,,,,,,,,,,,,,,881.0,619.0,528.0,502.0,443.0,394.0,392.0,366.0,336.0,334.0,329.0,299.0,286.0,282.0,273.0,236.0,213.0,199.0,7.0,,,,,,,,,,
2022-07,,,,,,,,,,,,,,,,,,,,,450.0,319.0,255.0,227.0,206.0,198.0,192.0,188.0,173.0,167.0,162.0,155.0,156.0,142.0,122.0,111.0,88.0,4.0,,,,,,,,,,
2022-08,,,,,,,,,,,,,,,,,,,,,,103.0,58.0,46.0,41.0,42.0,43.0,43.0,38.0,40.0,36.0,37.0,33.0,33.0,29.0,21.0,21.0,1.0,,,,,,,,,,
2022-09,,,,,,,,,,,,,,,,,,,,,,,383.0,254.0,218.0,200.0,189.0,177.0,166.0,140.0,135.0,122.0,115.0,96.0,93.0,77.0,81.0,3.0,,,,,,,,,,
2022-10,,,,,,,,,,,,,,,,,,,,,,,,451.0,304.0,264.0,235.0,218.0,201.0,173.0,152.0,139.0,147.0,135.0,124.0,111.0,104.0,2.0,,,,,,,,,,
2022-11,,,,,,,,,,,,,,,,,,,,,,,,,486.0,352.0,287.0,277.0,252.0,213.0,213.0,181.0,172.0,174.0,141.0,131.0,120.0,6.0,,,,,,,,,,
2022-12,,,,,,,,,,,,,,,,,,,,,,,,,,446.0,295.0,229.0,226.0,199.0,174.0,160.0,163.0,145.0,118.0,97.0,90.0,9.0,,,,,,,,,,
2023-01,,,,,,,,,,,,,,,,,,,,,,,,,,,614.0,361.0,327.0,291.0,271.0,225.0,216.0,204.0,178.0,146.0,133.0,7.0,,,,,,,,,,
2023-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.0,341.0,275.0,259.0,223.0,213.0,209.0,167.0,159.0,127.0,2.0,,,,,,,,,,
2023-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.0,381.0,318.0,282.0,291.0,268.0,227.0,204.0,183.0,13.0,,,,,,,,,,
2023-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.0,263.0,210.0,211.0,203.0,155.0,141.0,120.0,6.0,,,,,,,,,,
2023-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.0,280.0,222.0,215.0,182.0,154.0,134.0,6.0,,,,,,,,,,
2023-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755.0,216.0,177.0,146.0,131.0,99.0,4.0,,,,,,,,,,
2023-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290.0,93.0,71.0,63.0,54.0,12.0,,,,,,,,,,
2023-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649.0,96.0,84.0,78.0,27.0,,,,,,,,,,
2023-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1048.0,53.0,45.0,10.0,,,,,,,,,,
2023-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.0,42.0,10.0,,,,,,,,,,
2023-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,9.0,,,,,,,,,,
2023-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
2024-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
2024-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,,,,
2024-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.0,2.0,,1.0,,,
2024-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,16.0,11.0,10.0,8.0,9.0,
2024-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,36.0,39.0,34.0,33.0,9.0
2024-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0,88.0,79.0,72.0,35.0
2024-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,15.0,15.0,6.0
2024-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,3.0
2025-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
2025-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
